Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
YUE_reinforce_bo_ni_title;Reinforce Bo-Ni;;;;;;;;;;;;;
YUE_reinforce_bo_ni_desc;The island of Bo-Ni, known to the locals as Kalimantan and to the Westerners as Borneo, houses a significant amount of Chinese immigrants, who came here to work for the kongsi, which are mining organizations that exploit the local gold and tin depostits. They are the primary reason for why we currently hold lands on the island, and we see no reason not to expand their operations over the rest of the island, considering the activization of European activities in the area.;;;;;;;;;;;;;
YUE_proclaim_scs_hegemony_title;Proclaim the South China Sea Hegemony;;;;;;;;;;;;;
YUE_proclaim_scs_hegemony_desc;The South China Sea has been a traditional area of operations for the Min and the Yue, where we conducted our trade and held much influence. As such, it is logical that our primary objective should be establishing total control over the coastal areas of the sea, annexing large swathes of land that are currently held by the imperialist powers of the West. They surely won't be too happy about our ambitions, but who are they to stop the rising Yue thalassocracy?;;;;;;;;;;;;;
YUE_accept_tawalisi_title;Accept the Tawalisi;;;;;;;;;;;;;
YUE_accept_tawalisi_desc;The people of the Tawalisi archipelago have historically maintained close ties with our merchants. Now that we are in control of the islands, we may integrate them into our society for good.;;;;;;;;;;;;;
YUE_accept_minors_title;Accept the Minor Peoples;;;;;;;;;;;;;
YUE_accept_minors_desc;Our goal of hegemony in the South China Sea made us come into closer contact with several less significant peoples of Southeast Asia, such as the Cham. Having been oppressed by their overlords, most of them think of us as of another conqueror. We must prove them wrong and secure their loyalty, as they will be a useful asset in further strengthening of our country.;;;;;;;;;;;;;
unify_china_title;Unify China;;;;;;;;;;;;;
unify_china_desc;China lies in a sorry state. Petty lords wage war for land, barbarians besiege the realm and the Imperial authority is non-existent. By crushing all opposition and enforcing our will all over China, we may finally put an end to the internal strife and unify the Middle Kingdom under our banner.;;;;;;;;;;;;;
CHI_reclaim_south_title;Reclaim the South;;;;;;;;;;;;;
CHI_reclaim_south_desc;During the collapse of the Ming Dynasty, the Southern coast of China was seized by the merchant states of Nanyue and Minyue, who since have established their own distinct national identities. This cannot continue, we must do what Shun failed to do two hundred years ago - bring them back into the fold!;;;;;;;;;;;;;
CHI_reclaim_yunnan_title;Reclaim Yunnan;;;;;;;;;;;;;
CHI_reclaim_yunnan_desc;The Kingdom of Dali is a relatively new polity, being established during the hasty retreat of the Shun. The largely Muslim kingdom must be annexed into China, no matter whether they think of themselves as a neutral country.;;;;;;;;;;;;;
CHI_freedom_of_religion_title;Enact Freedom of Religion;;;;;;;;;;;;;
CHI_freedom_of_religion_desc;With each passing year we feel more pressure both from within and from the outside to get on with the times and accept the large amount of Muslims in our country. With the recent changes to our political landscape, we can finally recognize the Hui as equals.;;;;;;;;;;;;;
CHI_integrate_the_south_title;Integrate the South;;;;;;;;;;;;;
CHI_integrate_the_south_desc;The destruction of independent polities in the South means that we can finally begin the process of reintegration of the local population into the economic and political life of our country. The centuries of cultivated hatred towards the Han has certainly had its effect, and no matter what the process will be quite arduous and time-consuming.;;;;;;;;;;;;;
CHI_reclaim_taiwan_title;Reclaim Taiwan;;;;;;;;;;;;;
CHI_reclaim_taiwan_desc;In the 17th century, a large amount of Ming loyalists together with their leader Koxinga have fled to the island of Taiwan, establishing their own kingdom with the goal of reclaiming the mainland. Times are surely different now, and no matter the political landscape on the island, the valuable island must be brought into the fold, for the first time ever.;;;;;;;;;;;;;
CHI_northern_frontier_title;The Northern Frontier;;;;;;;;;;;;;
CHI_northern_frontier_desc;No Chinese Empire has exerted full control over the Gobi desert, which served as a natural protection against the nomads of Mongolia. However, it is becoming increasingly clear that the important cities of the North, such as Beijing, can only be sufficiently guarded if we control the desert and the Manchurian coast ourselves. Besides, the land is rich with natural resources, which we will make sure to use during our industrialization.;;;;;;;;;;;;;
CHI_build_arsenal_title;The $OURCAPITAL$ Arsenal;;;;;;;;;;;;;
CHI_build_arsenal_desc;With the proliferation of Western firearms, we are starting to feel the difficulties of actually buying them from the Europeans. Either raising the prices to an unreasonable value, or outright refusing to sell anything to us, the Europeans are unreliable. We must establish local production of modern weapons in our capital.;;;;;;;;;;;;;
KOR_form_tultaehan_title;The Korean Candidate;;;;;;;;;;;;;
KOR_form_tultaehan_desc;The peoples of China and Korea have historically been very close, their history and culture intertwined inseparably. A most ambitious plan proposed by King Munjo promises to elevate this connection to a highest level, and if our expedition into China succeeds, this may very well erase all divisions between the Han of China and the Han of Korea.;;;;;;;;;;;;;
KOR_eat_manchuria_title;Conquer Manchuria;;;;;;;;;;;;;
KOR_eat_manchuria_desc;The Conquest of Manchuria technically started in th 17th century, when the fall of the Ming prompted Korea to begin undertaking active measures to ensure its safety. However, we've never managed to properly subjugate most of the Wild Jurchens, as well as the Korchin Mongols and the Evenks residing North of the Amur river. Now it is time to right this wrong and finish what we started two centuries ago.;;;;;;;;;;;;;
KOR_colonize_sakhalin_title;Annex Hwang'tae;;;;;;;;;;;;;
KOR_colonize_sakhalin_desc;The island of Hwang'tae, known to the Japanese as Karafuto and to the Russians as Sakhalin, lies right at the coast of our posessions in Manchuria. Controlling it would ensure safety of the Tatar Strait, though at the cost of angering the Russians and possibly dragging us into a future conflict with the Japanese.;;;;;;;;;;;;;
KOR_end_to_chaos_title;An End to Chaos;;;;;;;;;;;;;
KOR_end_to_chaos_desc;One of the primary reasons of our current invasion is to secure peace and stability in East Asia, which has been plagued by chaos for nearly a century. The North might have been pacified, but the South remains unruly and chaotic. It is time to end the warlords once and for all!;;;;;;;;;;;;;
KOR_china_united_title;China United;;;;;;;;;;;;;
KOR_china_united_desc;The pacification of China has been successful. The warlords are no more, the foreign enroachers are crushed beneath our armies. It is time to properly integrate the Chinese bureaucracy and fix the consequences of decades of civil strife.;;;;;;;;;;;;;
IRY_middle_kingdoms_intervention_title;Middle Kingdoms Intervention;;;;;;;;;;;;;
IRY_middle_kingdoms_intervention_desc;After a long period of dormancy, things have finally kicked off in China. The small warlord statelets to the East are embroiled in bloody conflicts, trying to gain the upper hand in the process of Chinese Reunification. And it just so happens to be that the weakest of these states, Qin, sits right at our border. Perhaps, this opportunity might turn into something bigger... \n§RYou need to have 4 times more brigades than the owner of Shensi.;;;;;;;;;;;;;
IRY_into_the_chaos_title;Into the Chaos;;;;;;;;;;;;;
IRY_into_the_chaos_desc;The Kingdom of Qin fell before our armies, their bureaucracy being integrated into ours. This means that we are ready to advance to the next step of our great plan: the crossing of the mountains to the South and the invasion of the fertile plains of Yangtze.;;;;;;;;;;;;;
IRY_the_open_plains_title;The Open Plains;;;;;;;;;;;;;
IRY_the_open_plains_desc;We have advanced deep into Chinese territory, now entering the so-called 'Central Plain'. This means that our cavalry can roam free all across the most important regions of China - we must exploit it to the fullest! \n§RUnlocks the Chinese Reunification CB.;;;;;;;;;;;;;
IRY_form_xie_title;Found the Xie Dynasty;;;;;;;;;;;;;
IRY_form_xie_desc;The Han have considered the peoples of the steppes to be their biggest enemy, even building the Great Wall to keep us out of China. Alas, this did not help them, as we are now at the brink of unifying China. It seems like in their pride they have forgotten the Buddhist principles many of them claim to follow, and so we shall bring the word of Dalai Lama to them and found an empire where there is no place for hate - the Xie Empire!;;;;;;;;;;;;;
IRY_liberate_manchuria_title;Liberate Manchuria;;;;;;;;;;;;;
IRY_liberate_manchuria_desc;The Manchus are close relatives of the Mongols, but despite that, they never really acomplished anything of note besides the establishment of the short-lived Jin dynasty. Currently they are being colonized by the Koreans and the Russians, and, as a brotherly steppe-dwelling nation, we shall liberate them and add them into the fray.;;;;;;;;;;;;;
HUI_southern_reclamation_title;Begin the Southern Reclamation;;;;;;;;;;;;;
HUI_southern_reclamation_desc;With the Northern Capital in our hands, we may finally look to the South and crush the disorganized warlords that hold our rightful land. \n§RUnlocks the Chinese Reunification CB.;;;;;;;;;;;;;
PHI_reclaim_ayutthaya_title;Reclaim Ayutthaya;;;;;;;;;;;;;
PHI_reclaim_ayutthaya_desc;Once we gather enough strength, we may finally challenge the Burmese occupiers and reclaim the ancestal lands of the Thai, pressing our claim to estore a unified Siam, unseen since 1767.;;;;;;;;;;;;;
BUR_integrate_assam_title;Integrate Assam;;;;;;;;;;;;;
BUR_integrate_assam_desc;Our unexpected victories in Assam have brought the local population, who hail us as liberators, to recognize our rule as legitimate in all of Assam. Let us embrace the Assamese, for they might prove to be a valuable asset against any Western threat.;;;;;;;;;;;;;
BUR_end_the_stagnation_title;End the Stagnation;;;;;;;;;;;;;
BUR_end_the_stagnation_desc;The Konbaung Empire has been stagnant ever since the Sack of Ayutthaya in 1767, except for a few minor unseccessful engagements into Yunnan. This is a dangerous state of affairs, as we continue to rule over a large number of hostile peoples, whose desires for freedom are ever-increasing. We must rectify this and reform our kingdom to be a true regional hegemon, for if we do not do it now, the rising polities in the East that we failed to conquer may blow us a most humiliating blow.;;;;;;;;;;;;;
SIA_invade_malaya_title;Invade Malaya;;;;;;;;;;;;;
SIA_invade_malaya_desc;The Malay Peninsula houses many small Muslim polities. They are disunited and weak, and yet their lands are rich and could provide control over the straits to the South. We must crush the, before the Europeans get to it.;;;;;;;;;;;;;
SIA_partition_cambodia_title;Partition Cambodia;;;;;;;;;;;;;
SIA_partition_cambodia_desc;Several close advisors in our court have proposed offering a lucrative deal to our friends in France: partitioning the massive Cambodia between our countries. We could try to defeat them on our own, yes, bu we better now risk it and just take the opportunity we have, lest we might have a problem with the French interests in Cochinchina.;;;;;;;;;;;;;
SIA_annex_cambodia_title;Annex Cambodia;;;;;;;;;;;;;
SIA_annex_cambodia_desc;Cambodia not only benefitted from the collapse of Ayutthaya, they also prevented the later unification and seized Thai-populated lands. Surely this is not the end of their ambitions, and we shall not allow them to become even mightier, like back in the days of the Khmer Empire. We need to crush them, even at a cost of potentially coming into conflicts with European interests in Cochinchina.;;;;;;;;;;;;;
SIA_annex_cambodia_2_title;Annex Cambodia;;;;;;;;;;;;;
SIA_annex_cambodia_2_desc;The lands of Cambodia are populated by a nation closely related to our people - the Khmer. Their state no longer exists, and we must seize this opportunity and take the highly important heartland of the old Khmer Empire, lest it gets seized by Western imperialist powers.;;;;;;;;;;;;;
SIA_annex_laos_title;Annex Laos;;;;;;;;;;;;;
SIA_annex_laos_desc;Our dominance in Laos is undisputed at this point. Let us properly finish the Lao and crush all resistance that might be left there.;;;;;;;;;;;;;
SIA_integrate_laos_title;Integrate Laos;;;;;;;;;;;;;
SIA_integrate_laos_desc;With Laos annexed, we can start the process of integration of these unruly lands. Though it may be hard, it would be a major victory for the Thai state, for our old enemies are now our subjects.;;;;;;;;;;;;;
SIA_integrate_cambodia_title;Integrate Cambodia;;;;;;;;;;;;;
SIA_integrate_cambodia_desc;Cambodia has been conquered by our triumphant armies. Let us integrate the local Khmer infrastructure and bureaucracy with our own, securing a highly-populated area for our growing kingdom.;;;;;;;;;;;;;
franco_siamese_border_treaty_title;Franco-Siamese Border Treaty;;;;;;;;;;;;;
franco_siamese_border_treaty_desc;French Indoshina has grown beyond the wildest predictions of our colonial governors. We have successfully secured Dainam, and yet a certain issue bother us - the neighboring Siamese state, which controls many Lao lands and exerts substantial influence over Cambodia. We may just be able to persuade them into giving up their holdings in Laos, or, otherwise, take them by force.;;;;;;;;;;;;;
IDC_form_title;Unite Indochina;;;;;;;;;;;;;
IDC_form_desc;The Indochinese Peninsula, as it is called by the Europeans, was never close to unification, as it is populated by diverse peoples, who more often than not held resentment for each other. The times are different, however, and the continued survival of our nation reqires a creation of a unified Indochinese identity.;;;;;;;;;;;;;
MLY_form_title;Unite the Malay States;;;;;;;;;;;;;
MLY_form_desc;The small polities on the Malay Peninsula have never had a unified state of their own, instead each having its own prince. The time has come to end this state of affairs and unify the Malay states once and for all!;;;;;;;;;;;;;
BAV_reassert_dominance_title;Reassert German Dominance;;;;;;;;;;;;;
BAV_reassert_dominance_desc;No doubt inspired by the revolution in Sweden, the Franconian Crisis was a dangerous precedent that cannot be allowed to happen again. It has shown that our current political course cannot guarantee safety for Germany and the German people, which means it is time to take a more active stance in our goal of German unification. \n§RUnlocks the German Unification CB;;;;;;;;;;;;;
SGF_form_title;Form the South German Federation;;;;;;;;;;;;;
SGF_form_desc;The lands of Upper Germany have historically been closely intertwined with each other. The creation of the German Confederation moved the Kingdom of Bavaria and the constituents of the former Swabian Circle even closer together, and in our quest of German Unification, the creation of a unified Federation in the South would serve as an important step towards German Unity.;;;;;;;;;;;;;
GER_form_title;Three Hurrahs for Germany!;;;;;;;;;;;;;
GER_form_desc;The idea of a unified Germany has been ever-present in the minds of the German people ever since the German Renaissance of the 1780s. The nation's efforts were directed entirely towards achieving that goal for more than 50 years, and despite many setbacks and defeats we've had to face, the German Dream still burns bright in our hearts. And no matter what, it shall triumph: The German Confederation shall finally cease to exist, instead giving way to a new power in Central Europe - the German Empire!;;;;;;;;;;;;;
GER_retake_prussia_title;Retake Prussia;;;;;;;;;;;;;
GER_retake_prussia_desc;Prussia was unjustly stolen from us by the Zapadoslavs in the late 1830s, when Germany was shaken by the Franconian Crisis. They may tear Prussia away from the German Confederation, but they can't destroy the idea of a United Germany. The people of Prussia yearn for liberation, and let us deliver it!;;;;;;;;;;;;;
GER_unite_the_swiss_title;Unite the Swiss;;;;;;;;;;;;;
GER_unite_the_swiss_desc;The Swiss population is currently divided between the Switzerland proper, a member of the Confederation, and the so-called 'Bern Confederation', a union of Western Swiss cities protected by the Arelat. It is no secret this political entity is entirely temporary, and now it is time to integrate the Confederation into the Greater German State.;;;;;;;;;;;;;
GER_retake_schlesien_title;Retake Schlesien;;;;;;;;;;;;;
GER_retake_schlesien_desc;Silesia was once a part of the Holy Roman Empire, dominated by the Kingdom of Bohemia and being a place where the Slavic and the Germanic worlds met, the different peoples intermingling with each other. It ended with the secession of Bohemia from the Empire in 1716, and as they took Silesia with them, all German influence disappeared from the area. With the Unification of Germany we can turn our attention to the last remainders of Germans who are a sizeable minority in the area and press pur claim, however tenuous it might be.;;;;;;;;;;;;;
GER_the_western_reaches_title;The Western Reaches;;;;;;;;;;;;;
GER_the_western_reaches_desc;As we finish the process of collecting all German lands under one state, we turn our attention to the weakest of our claims, those on the Western border. Here lie sizeable minorities and even majorities of Germans, most of them living in the part of Duchy of Luxemburg that was not included in the German Confederation, as well in the city of Metz and its surroundings. Taking these lands would be a boon to our prestige, and, most importantly, it will strengthen our position in any future conflicts in the area.;;;;;;;;;;;;;
GER_autonomy_venice_title;Venetian Autonomy;;;;;;;;;;;;;
GER_autonomy_venice_desc;The rapidly changing situation in Italy threatens our posessions in Veneto, awarded to us during the Constantinople Accords. The local population, despite the relative distance of the old Venetian Republic from overall Italian politics, still considers itself Italian, and as such, they are becoming increasingly more hostile to us. Perhaps, if we were to create an autonomous Kingdom in these lands, we would be able to keep the tides of Italian nationalism at bay for the time being.;;;;;;;;;;;;;
NGF_form_title;Form the North German Federation;;;;;;;;;;;;;
NGF_form_desc;Lower German states have not not played a significant role in German politics of the last centuries. Disunity accompanied us all the way since the conquest of these lands from the Slavic tribes, and we have utilized it how we could, the prime example being the Hanseatic League. The times are different now, and it is evident that we can no longer afford to be disunited. A Federation of all North German states will be the first step towards our idea of a unitary, centralised Germany.;;;;;;;;;;;;;
SAF_open_the_frontiers_title;Open the Frontiers;;;;;;;;;;;;;
SAF_open_the_frontiers_desc;South Africa is a land of opportunity. The virgin prairies of Kaapland await those who are tired from war and poverty of Europe and want to start a new life. Lets us open the frontiers and welcome our brothers from across the pond!;;;;;;;;;;;;;
SAF_claim_the_karoo_title;Claim the Karoo;;;;;;;;;;;;;
SAF_claim_the_karoo_desc;The Great Karoo desert houses many Trekboer nomads. While these lands are infertile, controlling would serve as great protection against any possible incursions from the north, however unlikely they will be.;;;;;;;;;;;;;
SAF_northern_frontier_title;The Northern Frontier;;;;;;;;;;;;;
SAF_northern_frontier_desc;With the activization of European colonial activities in Africa comes the need to secure the lands we claimed in the North. We will establish outposts all over the lands we now call Namaqualand, thus firmly securing them for future settlement.;;;;;;;;;;;;;
SAF_along_the_coast_title;Along the Coast;;;;;;;;;;;;;
SAF_along_the_coast_desc;The coast to our east houses a large population of Xhosa and Nguni peoples, with the latter being organized into the strongest state in the area, the Zulu Kingdom. This region has colloquially been known by the Europeans as Kaffraria, or, when referring to the Zulu part, Natalia. Securing the coast would mean securing the inner regions from European incursion.;;;;;;;;;;;;;
SAF_oranje_vaal_title;Oranje-Vaal Campaign;;;;;;;;;;;;;
SAF_oranje_vaal_desc;With the coast secured, we may finally move into the lands known as Transvaal and Transorangia. There, several Boer republics have been established, though they are not big enough to play any role outside of the region. Lets us move into these lands and integrate our brethen.;;;;;;;;;;;;;
SAF_push_to_zambezi_title;The Push to Zambezi;;;;;;;;;;;;;
SAF_push_to_zambezi_desc;Our expansion must not stop with the Bushveld. Several poorly-organized tribes exist in the north, on the banks of the great Zambezi River, and if we were to move quickly, we could potentially extend our border all the way to the River itself, thus solidifying our position as the hegemon of South Africa, and possibly even of the entire continent.;;;;;;;;;;;;;
ARA_unification_call_title;Call for Unification;;;;;;;;;;;;;
ARA_unification_call_desc;With the fall of the Sultanate of Oman, we are the only major power left on the peninsula. It is time to move north and liberate Mashriq from all sorts of unbelievers!;;;;;;;;;;;;
ARA_proclaim_caliphate_title;Proclaim the Wahhabi Caliphate;;;;;;;;;;;;;
ARA_proclaim_caliphate_desc;The Wahhabi movement has reached incredible heights. Our conquests are spoken of in all corners of the world, for a few decades ago our name was not known to those outside of the region. And out of a small desert statelet we have carved out a great empire - thus let us proclaim the Caliphate of the Unitarians and bring forth a new Golden Age of Islam!;;;;;;;;;;;;
ADU_absorb_catalonia_title;Absorb Catalonia;;;;;;;;;;;;;
ADU_absorb_catalonia_desc;Across the Ebro River live the Catalan people. The have managed to stay independent for centuries due to being subjects under the mighty Occitan Kingdom, one of our greatest rivals. With the reconquest of the Frontier we may march into Barcelona once again, for the Occitans are no more and the united France has shown no interest in protecting their former subjects.;;;;;;;;;;;;;
SPA_reconquista_east_title;Reconquest of the East;;;;;;;;;;;;;
SPA_reconquista_east_desc;The Long Peace of Iberia is coming to an end. The Moors are gearing up for the reclamation of their former lands, and the Catalan Republic is becoming increasingly unstable. Such circumstances force us to act, lest we will lose the initiative to our enemies. And the obvious direction of our actions would be to the East, where the people of the Ebro River toil under the Moorish thumb. We shall be welcomed as liberators - and it will only be the first step.;;;;;;;;;;;;;
SPA_kill_catalonia_title;The Issue of Catalonia;;;;;;;;;;;;;
SPA_kill_catalonia_desc;Our swift push to the Mediterranean Sea has not gone unnoticed by the various political forces of the Catalan Republic. Many are saying that considering their diplomatic isolation, they will not be able to keep their independence. We must decide on our course of action.;;;;;;;;;;;;;
SPA_annex_catalan_puppet_title;Annex the Duchy of Barcelona;;;;;;;;;;;;;
SPA_annex_catalan_puppet_desc;Time is out for the Dukes of Barcelona. They have enjoyed autonomy for several decades, but the circumstances are different now. For the continued prosperity of the realm, we must incorporate the lands of Catalonia directly into the Espanian state, ending their autonomy once and for all.;;;;;;;;;;;;;
SPA_press_gothic_claim_title;Press the Gothic Claim;;;;;;;;;;;;;
SPA_press_gothic_claim_desc;Our decision to allow for a return of the Barcelona Dynasty offers us a unique opportunity. At different times, the Dukes of Barcelona were allowed to administer the March of Gothia, giving them a strong enough claim to the region. Pressing their claim would ruin our relations with the French, but it will grant us control over an important section of the Mediterranean coastline.;;;;;;;;;;;;;
SPA_reconquista_center_title;Reconquest of the Center;;;;;;;;;;;;;
SPA_reconquista_center_desc;The Moorish hold on Iberia is weaker than ever following our liberation of the Ebro Valley and the Mediterranean coast. The balance of power in Iberia lies shattered, with the initiative in our hands. The centuries-long struggle to liberate the peoples of Iberia is finally coming to a close, for the inner Moorish lands are now our next target.;;;;;;;;;;;;;
SPA_finish_reconquista_title;Finish the Reconquista;;;;;;;;;;;;;
SPA_finish_reconquista_desc;After more than a millenium, the Reconquista is coming to an end. The last strongholds of the Moors lie on the southern coast, known since Roman times as Baetica. Cordoba, Sevilla, Granada - all of these cities have been fully Arabized since times immemorial. We will finally take these lands and integrate them into Espania, for the betterment of all the peoples of Iberia.;;;;;;;;;;;;;
SPA_mauretanian_crusade_title;Mauretanian Crusade;;;;;;;;;;;;;
SPA_mauretanian_crusade_desc;The lands of North Africa have once been Christian, but in the centuries following the rise of Islam almost all communities of the faithful have been wiped out. We have pushed the Moors to the Rock of Gibraltar, but the Reconquista is not quite over yet: we will chase them across the sea and eliminate any possibility of them threatening Iberia in the future.;;;;;;;;;;;;;
MOR_restore_andalusia_title;Restore Al-Andalus;;;;;;;;;;;;;
MOR_restore_andalusia_desc;The Faithful have been pushed out of the Iberian Peninsula by the vile heathens of the north. If we manage to retake the heartlands of the Al-Andalus of old, we may proclaim the restoration of Muslim rule in Iberia.;;;;;;;;;;;;;
SPA_reverse_arabization_title;Reverse Arabization;;;;;;;;;;;;;
SPA_reverse_arabization_desc;Centuries of Moorish rule in Iberia have had quite an impact on the ethnoreligious landscape of the lands. One of the most horrible things that the Moors have acomplished was an erasure of national identity and language, both of which have been adapted to fit into the greater Andalusi identity. With the consolidation of our rule in the South we can reverse this.;;;;;;;;;;;;;
SPA_great_language_reform_title;The Great Language Reform;;;;;;;;;;;;;
SPA_great_language_reform_desc;Espania, and Iberia in general, is a land of great linguistical diversity. Many dialects and languages have developed independently of each other, and while it is fascinating for scholars, it is a nightmare for the bureaucrats. The strain that is put on our government apparatus by this is truly great, and by researching ways we can re-educate the people to speak a uniform language we can end this for good.;;;;;;;;;;;;;
OMA_centralise_empire_title;Centralize the Omani Empire;;;;;;;;;;;;;
OMA_centralise_empire_desc;The Omani Empire is heavily decentralized, with the lands of Yemen and Qatar in particular enjoying great autonomy. By adopting Western methods of governance we will be able to centralize the state around a uniform center in Muscat, which will stregthen the Empire against any potential threats.;;;;;;;;;;;;;
ADU_restore_northern_rule_title;Restore Northern Rule;;;;;;;;;;;;;
ADU_restore_northern_rule_desc;The Kingdoms of North Iberia have enjoyed independence ever since our forces were thrown out of Gaul in 997. This region is known since Roman times to be difficult to control, and indeed, the constant rebellions by the local populace rendered our hold in it practically non-existant even before the disaster in Gaul. This time, we will integrate the region properly, ending any notion of resistance against our rule.;;;;;;;;;;;;;
ADU_enact_conversion_decree_title;Enact the Conversion Decree;;;;;;;;;;;;;
ADU_enact_conversion_decree_desc;A necessary step in securing our dominion would be to gain the loyalty of the population. The problem is that the Christian faith will always drive the people against us, no matter our policies towards them. Clearly, the Jizya system that guaranteed autonomy for the local Christians has outlived its usefullness, as the populace has adapted to it and no longer feels the need to convert. We will task the best scholars of Al-Andalus to design education programs that would spread the Arabic script as well as the Islamic faith among our subjects.;;;;;;;;;;;;;
ADU_western_sahara_title;Down the African Coast;;;;;;;;;;;;;
ADU_western_sahara_desc;The Atlantic coast south of Morocco is a desolate desert, with no valuable resources and without any significant population. Its uselessness makes it particularly unattractive to other colonial powers. However, if someone was to take it, it would cut us off from the Sahel and Western Africa as a whole, so it's best that we lay claim to the region ourselves.;;;;;;;;;;;;;
BRB_form_flanders_title;Form Flanders;;;;;;;;;;;;;
BRB_form_flanders_desc;Flanders was a country in the Holy Roman Empire that gave the name to a greater region, which includes our capital. The word itself means 'flooded area', and in our search for a national identity, it fits best to become a basis for our new state.;;;;;;;;;;;;;
BRB_reorganise_holland_title;Reorganise Holland;;;;;;;;;;;;;
BRB_reorganise_holland_desc;The Duchy of Holland has long been an autonomous polity within our kingdom, ruled by the local nobility. The national awakening of the last few decades has shown us that feudalism, no matter how stable it might seem to be, is, in fact, a ticking time bomb. The best course of action would be to incorporate the Duchy directly.;;;;;;;;;;;;; 
BRB_take_friesland_title;Annex Friesland;;;;;;;;;;;;;
BRB_take_friesland_desc;Being the only major Republic in the whole of the former Holy Roman Empire, Friesland is a major troublemaker in the region. Their alliance with the Westphalians and colonial ventures in India show that they are up to no good. Besides, they are culturally similar to us - is there no better pretext for annexation?;;;;;;;;;;;;;
BRB_unify_low_franconia_title;Unify Low Franconia;;;;;;;;;;;;;
